Address,Price,Bathrooms,Bedrooms,Area,Property Type
"PWD, Block C, Islamabad",55,6,6,12 marla,residential
"Canal Bank Road, Lahore",20 Crore,10+,10+,1 kanal,commercial
"Jubilee Town, Lahore",50000,0,0,1000 sqft,commercial
"Bahria Enclave, Islamabad",90 Lac,0,0,450 sqft,commercial
"DHA Phase 2, Islamabad",9 Crore,5,5,1 kanal,residential
"DHA Phase 2, Islamabad",6 Crore,5,5,10 marla,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"Satellite Town, Block B, Rawalpindi",8.2 Crore,6,4,8.75 marla,commercial
"DHA Phase 2, Islamabad",10.5 Crore,5,5,1 kanal,residential
"Adyala Road, Rawalpindi",36 Lac,0,0,70 sqft,commercial
"DHA Phase 6, Lahore",12.85 Crore,4,4,1 kanal,residential
"Bahria Town - Sector F, Lahore",1.6 Crore,0,0,400 sqft,commercial
"Bahria Town Phase 8, Block Rafi, Rawalpindi",3.5 Crore,4,5,8 marla,residential
"Bahria Town Phase 7, Rawalpindi",14 Crore,5,5,25 marla,residential
"F-8 Markaz, Islamabad",4.5 Crore,0,0,2.3 marla,commercial
"Bahria Town Phase 8, Rawalpindi",1.3 Crore,0,0,6 marla,commercial
"Bahria Town Phase 4, Islamabad",4.1 Crore,5,6,10 marla,residential
"DHA Phase 4, Lahore",7.3 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",4.7 Crore,5,5,10.5 marla,residential
"Bahria Town Phase 5, Islamabad",4.25 Crore,5,6,10 marla,residential
"G-11, Islamabad",4.1 Crore,5,5,5 marla,residential
"Johar Town, Lahore",2.3 Crore,5,5,5 marla,residential
"Bahria Enclave, Sector N, Islamabad",2.25 Crore,3,3,5 marla,residential
"Adyala Road, Rawalpindi",32 Lac,0,0,61 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",51 Lac,0,0,114 sqft,commercial
"PIA Main Boulevard, Lahore",18 Crore,2,3,2 kanal,commercial
"Bahria Town Phase 8, Rawalpindi",95 Lac,2,2,890 sqft,residential
"Bahria Town Phase 8, Rawalpindi",3 Crore,5,5,7 marla,residential
"Mazang, Lahore",4 Crore,0,0,400 sqft,commercial
"Adyala Road, Rawalpindi",85 Lac,0,0,2.5 marla,commercial
"Adyala Road, Rawalpindi",32 Lac,0,0,54 sqft,commercial
"Bahria Town - Sector E , Lahore",62 Lac,1,1,390 sqft,residential
"Bahria Town Phase 8, Rawalpindi",92 Lac,0,0,395 sqft,commercial
"Bahria Town - Sector E , Lahore",4.95 Crore,4,5,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",4.5 Crore,5,5,10 marla,residential
"Bahria Town Phase 4, Islamabad",4.5 Crore,5,6,10 marla,residential
"DHA Phase 4, Lahore",7.4 Crore,6,6,1 kanal,residential
"Bahria Enclave, Sector B1, Islamabad",2.27 Crore,0,0,5 marla,commercial
"G-8, Islamabad",2.95 Crore,0,0,480 sqft,commercial
"Phase 8, Bahria Town, Sector G, Rawalpindi",3.6 Crore,5,6,10 marla,residential
"Bahria Town Phase 2, Islamabad",9.5 Crore,5,6,1 kanal,residential
"DHA Phase 2, Islamabad",9.25 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Sector E1, Rawalpindi",2.25 Crore,3,3,6 marla,residential
"DHA Phase 6, Lahore",10 Crore,4,4,1 kanal,residential
"Bahria Town Phase 7, Rawalpindi",27 Lac,0,0,110 sqft,commercial
"Park View City, Lahore",1.5 Crore,4,4,5 marla,residential
"DHA Phase 4, Lahore",4.9 Crore,2,2,1350 sqft,residential
"DHA Phase 2, Islamabad",9.2 Crore,5,5,1 kanal,residential
"I-9, Islamabad",40 Crore,0,0,4.4 marla,commercial
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"DHA Phase 2, Islamabad",9 Crore,5,5,1 kanal,residential
"Phase 8, Bahria Town, Sector L, Rawalpindi",3.75 Crore,5,6,10 marla,residential
"DHA Phase 4, Lahore",4.9 Crore,2,2,1350 sqft,residential
"Bahria Town Phase 4, Islamabad",5.4 Crore,5,6,10 marla,residential
"Chaklala Scheme 3, Rawalpindi",2 Crore,7,7,5 marla,residential
"Phase 8, Bahria Town, Sector L, Rawalpindi",3.7 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.95 Crore,5,5,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.15 Crore,3,3,5 marla,residential
"DHA Town Phase 9, Lahore",3.14 Crore,4,5,5 marla,residential
"Airport Housing Society, Sector 4, Rawalpindi",3.1 Crore,6,6,8 marla,residential
"Jubilee Town, Lahore",2.48 Crore,4,4,5 marla,residential
"Wapda Town Phase 1, Lahore",2.5 Crore,5,5,5 marla,residential
"Faisal Margalla City, Islamabad",57 Lac,0,0,155 sqft,commercial
"Faisal Margalla City, Islamabad",81 Lac,0,0,230 sqft,commercial
"DHA Phase 6, Lahore",7.5 Crore,4,4,10 marla,residential
"Bahria Town Phase 7, Rawalpindi",16.5 Crore,5,5,25 marla,residential
"Bahria Town Phase 8 Lakeview block, Rawalpindi",4.65 Crore,5,6,10 marla,residential
"Jubilee Town, Lahore",50000,0,0,1000 sqft,commercial
"LDA Avenue Phase 1, Lahore",3.25 Crore,6,5,10 marla,residential
"DHA Phase 3, Islamabad",4.9 Crore,5,6,10 marla,residential
"Bahria Enclave, Sector B1, Islamabad",3 Crore,4,4,5 marla,residential
"Bahria Town Phase 7, Rawalpindi",1.2 Crore,0,0,797 sqft,commercial
"G-13/2, Islamabad",45 Crore,0,0,4300 sqft,commercial
"Bahria Town Phase 3, Islamabad",4.7 Crore,5,6,10 marla,residential
"Wapda Town Phase 1, Lahore",4.8 Crore,5,5,10 marla,residential
"Bahria Town - Sector F, Lahore",1.98 Crore,3,4,5 marla,residential
"Bahria Town - Sector D, Lahore",1.92 Crore,3,4,5 marla,residential
"Wapda Town Phase 1, Lahore",2.3 Crore,4,5,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",30 Lac,1,0,300 sqft,commercial
"Bahria Town - Sector E , Lahore",1.9 Crore,2,2,5 marla,residential
"G-10/4, Islamabad",7.5 Crore,8,7,5.6 marla,residential
"Adyala Road, Rawalpindi",60 Lac,0,0,138 sqft,commercial
"Bahria Town Phase 7, Rawalpindi",28 Lac,0,0,110 sqft,commercial
"G-9/3, Islamabad",14 Crore,9,9,14 marla,residential
"Bahria Town Phase 3, Islamabad",4.9 Crore,5,6,10 marla,residential
"Bahria Town Phase 6, Islamabad",4.9 Crore,5,6,10 marla,residential
"Park View City, Islamabad",25 Lac,0,0,153 sqft,commercial
"DHA Phase 2, Lahore",7.3 Crore,6,6,1 kanal,residential
"Bahria Town Phase 8 Lakeview block, Rawalpindi",4.55 Crore,5,6,10 marla,residential
"Jubilee Town, Lahore",50000,0,0,1000 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",1.77 Crore,0,0,516 sqft,commercial
"Bahria Town Phase 8, Block Umer, Rawalpindi",2.7 Crore,4,5,7 marla,residential
"Faisal Margalla City, Islamabad",47 Lac,0,0,170 sqft,commercial
"Adyala Road, Rawalpindi",1.55 Crore,0,0,183 sqft,commercial
"Bahria Town - Sector A, Lahore",4.85 Crore,4,4,10 marla,residential
"DHA Phase 2, Islamabad",9 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",1.6 Crore,0,0,461 sqft,commercial
"Adyala Road, Rawalpindi",55 Lac,0,0,123 sqft,commercial
"Adyala Road, Rawalpindi",35 Lac,0,0,66 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",2.7 Crore,5,5,7 marla,residential
"Adyala Road, Rawalpindi",50 Lac,0,0,62 sqft,commercial
"DHA Town Phase 9, Lahore",3.12 Crore,4,5,5 marla,residential
"Bahria Town Phase 6, Islamabad",4.7 Crore,5,6,10 marla,residential
"LDA Avenue Phase 1, Lahore",3.25 Crore,6,5,10 marla,residential
"Johar Town, Lahore",2.4 Crore,5,5,5 marla,residential
"Gulberg 3, Lahore",4 Crore,0,0,240 sqft,commercial
"DHA Phase 2, Islamabad",9.75 Crore,5,5,1 kanal,residential
"Haji Park Housing Scheme, Lahore",1.4 Crore,4,4,5 marla,residential
"Defence Villas, Rawalpindi",4 Crore,3,4,11 marla,residential
"Gulberg 1, Lahore",95 Lac,0,0,119 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",2.8 Crore,5,5,7 marla,residential
"Bhara Kahu, Islamabad",12 Crore,0,0,13 marla,commercial
"Snober City, Rawalpindi",1.35 Crore,4,4,5 marla,residential
"Bahria Enclave, Islamabad",5.5 Crore,6,5,10 marla,residential
"DHA Phase 4, Lahore",6.7 Crore,5,5,1 kanal,residential
"I-9 Markaz, Islamabad",20 Crore,0,0,6 marla,commercial
"Bahria Town - Sector E , Lahore",4.95 Crore,4,5,10 marla,residential
"Gulberg 3, Lahore",6.5 Crore,0,0,344 sqft,commercial
"Jinnah Garden, Islamabad",50 Lac,0,0,120 sqft,commercial
"Phase 8, Bahria Town, Sector N, Rawalpindi",1.6 Crore,3,4,5 marla,residential
"DHA Phase 3, Islamabad",2.2 Crore,3,4,5 marla,residential
"G-14/4, Islamabad",3.6 Crore,4,5,4.4 marla,residential
"DHA Phase 6, Lahore",12.85 Crore,4,4,1 kanal,residential
"Al Kabir Town Phase 2, Lahore",52.92 Lac,0,0,1.3 marla,commercial
"DHA Phase 6, Lahore",7.5 Crore,4,4,10 marla,residential
"Wapda Town Phase 1, Lahore",2.6 Crore,5,5,5 marla,residential
"Adyala Road, Rawalpindi",1.25 Crore,4,4,5 marla,residential
"Bahria Town - Sector E , Lahore",65 Lac,1,1,400 sqft,residential
"DHA Phase 2, Defence Residency, Islamabad",1.6 Crore,3,3,10.74 marla,residential
"Bahria Town Phase 3, Islamabad",4.6 Crore,5,6,10 marla,residential
"Nisbat Road, Lahore",1.6 Crore,0,0,4 marla,commercial
"Defence Villas, Rawalpindi",3.8 Crore,3,4,11 marla,residential
"Johar Town, Lahore",2.5 Crore,5,5,5 marla,residential
"Bani Gala, Islamabad",1.25 Crore,3,3,10 marla,residential
"Faisal Margalla City, Islamabad",55 Lac,0,0,155 sqft,commercial
"Wapda Town Phase 1, Lahore",2.4 Crore,5,5,5 marla,residential
"Bahria Town Phase 8, Block D , Rawalpindi",4.35 Crore,5,6,10 marla,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"Adyala Road, Rawalpindi",47 Lac,0,0,101.16 sqft,commercial
"DHA Phase 2, Islamabad",9.8 Crore,5,5,1 kanal,residential
"Bahria Town Phase 4, Islamabad",4.6 Crore,5,6,10 marla,residential
"Islampura, Lahore",5 Crore,0,0,2.7 marla,commercial
"Soan Garden, Block F, Islamabad",3.5 Crore,0,0,4.4 marla,commercial
"Airport Housing Society, Sector 4, Rawalpindi",1.7 Crore,3,3,6 marla,residential
"Samarzar Housing Society, Rawalpindi",67 Lac,2,2,5 marla,residential
"Phase 8, Bahria Town, Sector N, Rawalpindi",1.75 Crore,3,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.8 Crore,5,5,7 marla,residential
"DHA Phase 2, Islamabad",8.85 Crore,5,5,1 kanal,residential
"Bahria Town - Sector E , Lahore",4.9 Crore,4,4,10 marla,residential
"DHA Phase 3, Lahore",8.5 Crore,0,0,8.5 marla,commercial
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"DHA Phase 2, Islamabad",14 Crore,7,7,5 marla,commercial
"Falcon Complex, Lahore",3.45 Crore,3,3,12 marla,residential
"DHA Phase 2, Lahore",6.8 Crore,5,5,1 kanal,residential
"Snober City, Rawalpindi",1.6 Crore,4,4,5 marla,residential
"Bahria Town - Sector E , Lahore",1.85 Crore,3,4,5 marla,residential
"Soan Garden, Islamabad",3.2 Crore,4,4,6 marla,residential
"Jubilee Town, Lahore",50000,0,0,1000 sqft,commercial
"DHA Homes, Islamabad",1.68 Crore,3,3,8 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.2 Crore,5,5,7 marla,residential
"CBR Town, Islamabad",6.5 Crore,6,6,12 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.15 Crore,0,0,480 sqft,commercial
"Bahria Town Phase 8, Block Rafi, Rawalpindi",3.8 Crore,4,5,8 marla,residential
"Bahria Town Phase 8, Block D , Rawalpindi",4.25 Crore,5,6,10 marla,residential
"DHA Phase 2, Islamabad",2.4 Crore,5,5,5 marla,residential
"Bahria Town Phase 7, Rawalpindi",4.9 Crore,5,6,10 marla,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"DHA Phase 3, Islamabad",2.1 Crore,3,4,5 marla,residential
"Gulberg Greens, Islamabad",2.2 Crore,0,0,337.7 sqft,commercial
"DHA Phase 6, Lahore",16.5 Crore,4,4,1 kanal,residential
"DHA Phase 6, Lahore",7.5 Crore,4,4,10 marla,residential
"Canal Gardens, Lahore",26 Lac,0,0,113 sqft,commercial
"Adyala Road, Rawalpindi",35 Lac,0,0,63 sqft,commercial
"Phase 8, Bahria Town, Sector G, Rawalpindi",3.5 Crore,5,6,10 marla,residential
"Phase 8, Bahria Town, Sector A, , Rawalpindi",4.2 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.9 Crore,5,5,7 marla,residential
"Soan Garden, Islamabad",4.25 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.7 Crore,5,5,7 marla,residential
"Phase 8, Bahria Town, Sector M, Rawalpindi",2.35 Crore,4,5,8 marla,residential
"LDA Avenue Phase 1, Lahore",1.5 Crore,5,5,3 marla,residential
"Adyala Road, Rawalpindi",94 Lac,2,2,5 marla,residential
"E-11/2, Islamabad",5 Crore,4,4,6 marla,residential
"Bani Gala, Islamabad",2.5 Crore,3,3,5 marla,residential
"F-6, Islamabad",15 Crore,0,0,900 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",2.8 Crore,5,5,7 marla,residential
"Adyala Road, Rawalpindi",85 Lac,0,0,94 sqft,commercial
"DHA Phase 2, Islamabad",10 Crore,5,5,1 kanal,residential
"Jubilee Town, Lahore",2.48 Crore,4,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",65 Lac,0,0,561.6 sqft,commercial
"Bahria Town Phase 8, Block Ali, Rawalpindi",2.65 Crore,4,5,7 marla,residential
"Bahria Town Phase 8-Khalid Block, Rawalpindi",4.2 Crore,5,6,10 marla,residential
"DHA Phase 2, Islamabad",8.95 Crore,5,5,1 kanal,residential
"Multi Garden, B-17, Islamabad",5.1 Crore,6,6,10 marla,residential
"Gulrez, Rawalpindi",11 Crore,0,0,34 marla,commercial
"LDA Avenue Phase 1, Lahore",3.25 Crore,5,6,10 marla,residential
"Bani Gala, Islamabad",3.5 Crore,5,5,10 marla,residential
"Gulberg, Lahore",1.25 Arab,0,0,100 marla,commercial
"DHA Phase 2, Islamabad",9 Crore,5,5,1 kanal,residential
"DHA Phase 2, Islamabad",10.3 Crore,5,5,1 kanal,residential
"DHA Phase 4, Lahore",4.85 Crore,2,2,1350 sqft,residential
"E-11, Islamabad",1.08 Crore,0,0,600 sqft,commercial
"Bahria Town - Sector E , Lahore",1.95 Crore,3,4,5 marla,residential
"DHA Phase 6, Lahore",10 Lac,0,0,450 sqft,commercial
"Gulberg Greens, Islamabad",35 Lac,0,0,190 sqft,commercial
"Jubilee Town, Lahore",80 Lac,2,2,600 sqft,residential
"New Super Town, Lahore",25 Crore,0,0,12 marla,commercial
"Bahria Town - Sector D, Lahore",4.9 Crore,4,4,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.8 Crore,5,5,10 marla,residential
"Jhang Bahtar Road, Islamabad",4 Crore,0,0,1 kanal,commercial
"DHA Phase 2, Islamabad",9.4 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",4.1 Crore,5,5,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.85 Crore,0,0,640 sqft,commercial
"DHA Town Phase 9, Lahore",6.9 Crore,4,5,10 marla,residential
"DHA Phase 4, Lahore",7.6 Crore,5,5,1 kanal,residential
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"Johar Town, Lahore",5.2 Crore,5,6,12 marla,residential
"Faisal Margalla City, Islamabad",47 Lac,0,0,140 sqft,commercial
"Bahria Town - Sector B, Lahore",1.98 Crore,3,4,5 marla,residential
"DHA Town Phase 9, Lahore",3.2 Crore,4,5,5 marla,residential
"Adyala Road, Rawalpindi",2.2 Crore,0,0,261 sqft,commercial
"Bahria Town Phase 8, Block Rafi, Rawalpindi",1.85 Crore,3,4,5 marla,residential
"Bani Gala, Islamabad",2.1 Crore,3,3,5 marla,residential
"Jubilee Town, Lahore",1.45 Crore,5,5,10 marla,residential
"Bahria Town - Sector E , Lahore",1.5 Crore,0,0,375 sqft,commercial
"Bahria Enclave, Sector N, Islamabad",4.4 Crore,6,5,10 marla,residential
"Faisal Margalla City, Islamabad",59 Lac,0,0,170 sqft,commercial
"College Road, Lahore",28 Crore,0,0,4 kanal,commercial
"Bahria Town Phase 8, Rawalpindi",1.1 Crore,0,0,480 sqft,commercial
"Bahria Town Phase 7, Rawalpindi",4.85 Crore,5,6,10 marla,residential
"Bahria Town - Sector D, Lahore",35000,2,2,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",50 Lac,0,0,112 sqft,commercial
"Adyala Road, Rawalpindi",45 Lac,0,0,96.19 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",2.95 Crore,5,5,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",50 Lac,0,0,110 sqft,commercial
"Faisal Margalla City, Islamabad",37 Lac,0,0,140 sqft,commercial
"Islamabad Expressway, Islamabad",1.47 Crore,0,0,525 sqft,commercial
"Bahria Town, Lahore",1.98 Crore,0,2,5 marla,commercial
"Jubilee Town, Lahore",75 Lac,2,2,1000 sqft,residential
"Bahria Town - Sector E , Lahore",4.95 Crore,4,4,10 marla,residential
"Bahria Town Phase 8, Sector J, Rawalpindi",3.9 Crore,5,6,10 marla,residential
"Bahria Town Phase 8, Rawalpindi",1.8 Crore,0,0,518 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",2.25 Crore,3,3,5 marla,residential
"Bani Gala, Islamabad",2 Crore,4,4,7.5 marla,residential
"Bahria Town - Sector C , Lahore",1.9 Crore,4,4,5 marla,residential
"Snober City, Rawalpindi",1 Crore,2,2,5 marla,residential
"Defence Villas, Rawalpindi",3.95 Crore,3,4,11 marla,residential
"G-8 Markaz, Islamabad",65 Crore,0,4,2750 sqft,commercial
"Bahria Town - Sector E , Lahore",65 Lac,1,1,380 sqft,residential
"Bahria Town - Sector B, Lahore",1.96 Crore,3,4,5 marla,residential
"Airport Housing Society, Sector 4, Rawalpindi",1.55 Crore,3,3,5.5 marla,residential
"Bahria Enclave, Sector A, Islamabad",11.1 Crore,10+,6,4 marla,commercial
"Bahria Town Phase 8, Rawalpindi",8 Crore,5,5,1 kanal,residential
"DHA Phase 2, Islamabad",8.5 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",50 Lac,0,0,254 sqft,commercial
"Jubilee Town, Lahore",60 Lac,1,1,520 sqft,residential
"Adyala Road, Rawalpindi",48 Lac,0,0,103.13 sqft,commercial
"Karim Park, Lahore",90 Lac,0,0,196 sqft,commercial
"DHA Town Phase 9, Lahore",3.15 Crore,4,5,5 marla,residential
"Snober City, Rawalpindi",1.5 Crore,4,4,5 marla,residential
"DHA Town Phase 9, Lahore",2.95 Crore,4,5,5 marla,residential
"Faisal Margalla City, Islamabad",59 Lac,0,0,158 sqft,commercial
"Johar Town Phase 2, Lahore",3.38 Crore,0,0,615 sqft,commercial
"Bahria Town - Sector E , Lahore",32000,2,2,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",2.9 Crore,5,5,7 marla,residential
"Bahria Town Phase 8, Rawalpindi",95 Lac,0,0,410 sqft,commercial
"Adyala Road, Rawalpindi",1.15 Crore,0,0,129 sqft,commercial
"Faisal Margalla City, Islamabad",40 Lac,0,0,140 sqft,commercial
"G-8, Islamabad",31 Crore,0,4,2400 sqft,commercial
"F-7 Markaz, Islamabad",19.5 Crore,0,0,938 sqft,commercial
"Jinnah Garden Phase 1, Islamabad",3.75 Crore,5,7,8 marla,residential
"Bahria Town - Sector E , Lahore",1.4 Crore,0,0,400 sqft,commercial
"DHA Phase 2, Islamabad",8 Crore,5,5,1 kanal,residential
"Korang Town, Islamabad",30 Crore,0,0,500 sqyd,commercial
"DHA Phase 3, Islamabad",2 Crore,3,4,5 marla,residential
"DHA Homes, Islamabad",1.71 Crore,3,3,8 marla,residential
"Bahria Enclave, Sector A, Islamabad",11.5 Crore,10+,6,4 marla,commercial
"B-17, Islamabad",60 Lac,0,0,230 sqft,commercial
"Faisal Margalla City, Islamabad",65 Lac,0,0,230 sqft,commercial
"Bahria Town Phase 8, Block Rafi, Rawalpindi",1.7 Crore,3,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.1 Crore,5,5,7 marla,residential
"Bahria Town Phase 7, Rawalpindi",30 Lac,0,0,120 sqft,commercial
"Bahria Town Phase 7, Rawalpindi",4.1 Crore,0,0,1280 sqft,commercial
"Bahria Town Phase 7, Rawalpindi",9.4 Crore,6,7,20 marla,residential
"Bahria Town Phase 8, Rawalpindi",50 Lac,0,0,110 sqft,commercial
"Soan Garden, Islamabad",3.9 Crore,4,5,8.5 marla,residential
"Bahria Town Phase 8, Block Ali, Rawalpindi",2.7 Crore,4,5,7 marla,residential
"Phase 8, Bahria Town, Sector N, Rawalpindi",1.55 Crore,3,4,5 marla,residential
"Bahria Town Phase 8, Rawalpindi",3.2 Crore,5,5,7 marla,residential
"DHA Phase 2, Lahore",8.3 Crore,4,4,1 kanal,residential
"I-8, Islamabad",2.5 Crore,0,0,350 sqft,commercial
"Chatha Bakhtawar, Islamabad",2.1 Crore,4,4,5 marla,residential
"DHA Phase 2, Islamabad",8.9 Crore,5,5,1 kanal,residential
"Chauburji Chowk, Lahore",78 Lac,0,0,260 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",90 Lac,0,0,410 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",1.1 Crore,0,0,480 sqft,commercial
"Bahria Town Phase 8, Rawalpindi",68 Lac,0,0,425 sqft,commercial
"Multan Road, Lahore",15 Crore,8,8,8 kanal,commercial
"Bahria Town Phase 8, Rawalpindi",3.9 Crore,5,5,10 marla,residential
"DHA Phase 2, Islamabad",10.25 Crore,5,5,1 kanal,residential
"Central Park Housing Scheme, Lahore",2.9 Crore,5,6,10 marla,residential
"LDA Avenue Phase 1, Lahore",3.25 Crore,5,6,10 marla,residential
"Bahria Town - Sector E , Lahore",1.6 Crore,0,0,400 sqft,commercial
"Adyala Road, Rawalpindi",85 Lac,0,0,98 sqft,commercial
"Gulberg 3, Lahore",2.62 Crore,0,0,1750 sqft,commercial
"H-13, Islamabad",1.1 Crore,2,2,5 marla,residential
"Township, Lahore",10 Crore,0,2,8 marla,commercial
"Jubilee Town, Lahore",75 Lac,2,2,1000 sqft,residential
"Bahria Town Phase 8, Rawalpindi",2.95 Crore,5,5,7 marla,residential
"Wapda Town Phase 1, Lahore",2.75 Crore,5,5,5 marla,residential
"DHA Phase 4, Lahore",3.6 Crore,2,2,1020 sqft,residential
"DHA Phase 3, Lahore",8.5 Crore,0,0,8.5 marla,commercial
"Bahria Town Phase 8, Rawalpindi",2.1 Crore,3,3,5 marla,residential
"DHA Phase 2, Islamabad",6.75 Crore,5,5,10 marla,residential
"D-12/4, Islamabad",4.2 Crore,4,4,4 marla,residential
"DHA Phase 2, Islamabad",11 Crore,5,5,1 kanal,residential
"DHA Phase 2, Lahore",9.6 Crore,5,5,1 kanal,residential
"Faisal Margalla City, Islamabad",45 Lac,0,0,140 sqft,commercial
"Bahria Town - Sector D, Lahore",1.95 Crore,3,4,5 marla,residential
"Multan Road, Lahore",7.5 Crore,3,3,24000 sqft,commercial
"DHA Phase 2, Islamabad",10.25 Crore,5,5,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",2.85 Crore,5,5,7 marla,residential
"Bhara Kahu, Islamabad",80 Lac,2,2,4 marla,residential
"Bahria Town, Rawalpindi",28 Lac,1,1,450 sqft,residential
"Snober City, Rawalpindi",1.25 Crore,3,3,5 marla,residential
"Shehzad Town, Islamabad",4 Crore,5,6,8 marla,residential
"DHA Phase 2, Lahore",6.7 Crore,5,5,1 kanal,residential
"DHA Phase 6, Lahore",12.85 Crore,4,4,1 kanal,residential
"Bahria Town Phase 8, Rawalpindi",65 Lac,0,0,410 sqft,commercial
"Wapda Town Phase 1, Lahore",2.75 Crore,5,5,5 marla,residential
"Adyala Road, Rawalpindi",45 Lac,0,0,83 sqft,commercial
